id,difficulty,terrain,date_hidden,favorites
GCANAW1,1,1.5,5/28/2024,0
GCAKY6M,1,2.5,5/18/2024,0
GCAN25C,1,1,5/11/2024,0
GCAJ0V0,1,2,5/11/2024,0
GCA6GWF,1,1,5/4/2024,0
GCAMJ4R,1,2,5/4/2024,0
GCAK9T1,1,1,5/4/2024,0
GCAKE0V,1,1,5/4/2024,0
GCAKBP1,1,1,5/4/2024,0
GCAN7A8,1,1,5/1/2024,0
GCANCQ3,1,1,4/29/2024,0
GCAMX38,1,1,4/28/2024,0
GCAKJ70,1,1.5,4/27/2024,0
GCAK18P,1,1.5,4/27/2024,0
GCAN4R7,1,1,4/24/2024,0
GCANAV9,1,1,4/23/2024,0
GCAMHDQ,1,1,4/21/2024,0
GCAN533,1,2,4/20/2024,0
GCAMV4F,1,1.5,4/20/2024,0
GCAN36W,1,1,4/20/2024,0
GCAMZE7,1,1,4/20/2024,0
GCAKBBC,1,1,4/20/2024,0
GCAK7XC,1,1,4/20/2024,0
GCANE43,1,1,4/18/2024,0
GCAN6XW,1,1,4/18/2024,0
GCAMNV8,1,1,4/17/2024,0
GCAMXJR,1,1.5,4/15/2024,0
GCAN24D,1,1,4/14/2024,0
GCAMW02,1,1,4/13/2024,0
GCAMYCW,1,1,4/11/2024,0
GCAJVCC,1,1,4/11/2024,0
GCANDCC,1,1.5,4/11/2024,0
GCAM7CC,1,1,4/10/2024,0
GCA6GWC,1,1,4/9/2024,0
GCAN8E9,1,1,4/9/2024,0
GCANDFD,1,1,4/8/2024,0
GCAJQQ9,1,1,4/8/2024,0
GCAN8DF,1,1,4/8/2024,0
GCAK73B,1,1.5,4/7/2024,0
GCAN7B6,1,1,4/7/2024,0
GCANA50,1,1.5,4/6/2024,0
GCAMV6N,1,1,4/6/2024,0
GCAN0WJ,1,1.5,4/6/2024,0
GCAKBGC,1,1,4/6/2024,0
GCAMHZJ,1,3,4/5/2024,0
GCAMXFB,1,1,4/4/2024,0
GCAM3QC,1,1,4/3/2024,0
GCAMJ4C,1,1,4/1/2024,0
GCAMXGW,1,1,3/30/2024,0
GCAM55Y,1,1,3/30/2024,0
GCAMXEK,1,1.5,3/30/2024,0
GCAMY7A,1,1,3/30/2024,0
GCAMWHD,1,1,3/29/2024,0
GCAMWHG,1,1,3/28/2024,0
GCAKJ6F,1,1,3/27/2024,0
GCANEVF,2,2.5,3/26/2024,0
GCAM27W,1,1,3/25/2024,0
GCANE2V,1.5,2,3/25/2024,0
GCANE0V,1,2,3/25/2024,0
GCANDTX,2,3.5,3/25/2024,0
GCANDQ9,1.5,2.5,3/25/2024,1
GCAMRJV,3,1.5,3/25/2024,2
GCAKPCX,1,1,3/24/2024,0
GCANE53,2,2.5,3/24/2024,0
GCANDP6,1,4,3/24/2024,0
GCANCQA,3,2.5,3/24/2024,1
GCANCP2,3.5,1.5,3/24/2024,1
GCANCMW,3,2,3/24/2024,0
GCANCKF,2,1.5,3/24/2024,0
GCANCK7,1.5,1.5,3/24/2024,0
GCANCH5,1.5,1,3/24/2024,0
GCANBVF,1.5,3,3/24/2024,0
GCANBQV,2.5,1.5,3/24/2024,1
GCANBQA,2.5,1.5,3/24/2024,1
GCANBMY,1.5,1.5,3/24/2024,1
GCANBHC,2,2,3/24/2024,1
GCAJJTT,1,1,3/24/2024,0
GCAHX76,1.5,1.5,3/24/2024,4
GCAM4XK,1,1,3/23/2024,0
GCAK5BZ,1,4.5,3/23/2024,0
GCAMCK5,1,1,3/23/2024,0
GCAKZ6F,1,1,3/23/2024,0
GCANEV1,1.5,2,3/23/2024,0
GCANAT5,2.5,1.5,3/23/2024,0
GCANAQN,1,2.5,3/23/2024,0
GCANAP6,1.5,1.5,3/23/2024,0
GCANANG,1.5,1.5,3/23/2024,0
GCANAKV,2.5,2,3/23/2024,1
GCANAE9,2.5,2,3/23/2024,0
GCANA3W,1.5,1.5,3/23/2024,0
GCAKNC9,2,2.5,3/23/2024,2
GCADNPD,1,1,3/23/2024,1
GCAN8EQ,1.5,1,3/22/2024,1
GCAN8EM,2,1.5,3/22/2024,0
GCAN8AN,1.5,1.5,3/22/2024,0
GCAN8A8,2,1.5,3/22/2024,0
GCAN83A,1.5,1.5,3/22/2024,0
GCAN82Y,2,2,3/22/2024,0
GCAN80F,2,2.5,3/22/2024,0
GCAN804,1.5,1.5,3/22/2024,0
GCAN7YY,1.5,2,3/22/2024,0
GCAM29G,1,1.5,3/21/2024,0
GCAN8CX,2,3,3/21/2024,0
GCAN8CV,2,3,3/21/2024,0
GCAN8CQ,2,3,3/21/2024,0
GCAN78K,1.5,2.5,3/21/2024,0
GCAN76C,1.5,1.5,3/21/2024,0
GCAN732,2,3,3/21/2024,1
GCAN6ZG,3,2.5,3/21/2024,1
GCAN6Z1,1.5,2,3/21/2024,0
GCAN5ZK,2,1.5,3/21/2024,0
GCAJHKY,1,2,3/21/2024,3
GCAJWYH,1,1,3/20/2024,0
GCAN893,1.5,2.5,3/20/2024,0
GCAN886,2,2,3/20/2024,0
GCAN87G,1.5,2,3/20/2024,0
GCAN873,2,2,3/20/2024,0
GCAN6H6,2,2.5,3/20/2024,0
GCAN61H,1.5,3.5,3/20/2024,2
GCAN60H,1.5,2,3/20/2024,0
GCAN60F,1.5,1.5,3/20/2024,0
GCAN60A,1.5,3,3/20/2024,0
GCAN5TN,1.5,1.5,3/20/2024,1
GCAN5TJ,1,1.5,3/20/2024,0
GCAN5TG,5,2,3/20/2024,0
GCAN5RY,2.5,3.5,3/20/2024,1
GCAN5RA,2,3.5,3/20/2024,1
GCAN5R4,3.5,1.5,3/20/2024,0
GCAN5R3,4,5,3/20/2024,1
GCAN5QX,3,2.5,3/20/2024,0
GCAN5NV,3,2,3/20/2024,0
GCAN5NJ,2,2,3/20/2024,0
GCAN5K9,1.5,1.5,3/20/2024,0
GCAN5JA,2,1.5,3/20/2024,0
GCAN5C7,2,1,3/20/2024,0
GCAN5A1,2.5,2,3/20/2024,0
GCAN56K,1.5,1.5,3/20/2024,0
GCAN331,1.5,1.5,3/20/2024,1
GCAMGXW,1,1,3/19/2024,0
GCAN61J,1,1.5,3/19/2024,3
GCAN5XT,2,2.5,3/19/2024,0
GCAN54Y,2,2,3/19/2024,0
