id,difficulty,terrain,date_hidden,favorites
GCAKWY9,1,1.5,4/27/2024,0
GCAKK8M,1,1,4/13/2024,0
GCAKCXH,1,1,4/7/2024,0
GCAM1WH,1,1,4/6/2024,0
GCAJQFR,1,1,3/25/2024,0
GCAMDVB,1,1,3/23/2024,0
GCAJQFQ,1,1,3/22/2024,0
GCAKXC9,1,1,3/19/2024,0
GCAJQFP,1,1,3/18/2024,0
GCAK57T,1,1.5,3/16/2024,0
GCAKE38,1,1.5,3/16/2024,0
GCAJQG2,1,1,3/11/2024,0
GCAJQFN,1,1,3/10/2024,0
GCAJ13X,1,1,3/9/2024,0
GCAMDRF,1.5,1.5,3/4/2024,0
GCAMDNV,1.5,1.5,3/4/2024,0
GCAMDNQ,1.5,1.5,3/4/2024,0
GCAMDMH,1.5,2.5,3/4/2024,0
GCAMDKR,1.5,1.5,3/4/2024,0
GCAKCWB,1,1.5,3/3/2024,0
GCAMCJK,2,2,3/3/2024,0
GCAMAZZ,1,1.5,3/2/2024,0
GCAMAQF,1.5,1.5,3/2/2024,0
GCAMAGK,1.5,1.5,3/2/2024,0
GCAMAFF,1.5,1.5,3/2/2024,0
GCAM5QF,2,1.5,3/2/2024,3
GCAM9KY,2,2,3/1/2024,0
GCAM92J,1.5,1.5,3/1/2024,0
GCAJEK0,1,5,2/29/2024,0
GCAK16N,1,1,2/29/2024,0
GCAGYP8,1,2,2/29/2024,0
GCAKAEG,1,1.5,2/29/2024,0
GCAK2CY,1,1.5,2/29/2024,0
GCAH943,1,1,2/29/2024,0
GCAK4P7,1,1,2/29/2024,0
GCAM8M6,3,2.5,2/29/2024,0
GCAM8J0,2,1.5,2/29/2024,3
GCAM8GV,2,1.5,2/29/2024,0
GCAM8E9,2,2,2/29/2024,0
GCAM8DW,1,1.5,2/29/2024,1
GCAM8DQ,1,1.5,2/29/2024,0
GCAM8DH,1,1.5,2/29/2024,0
GCAM8DD,1,1.5,2/29/2024,0
GCAM8D7,3,2.5,2/29/2024,0
GCAM7VY,3,2,2/29/2024,0
GCAKYZV,1.5,2,2/29/2024,4
GCAM7EJ,1.5,1.5,2/28/2024,0
GCAM576,2,2,2/26/2024,0
GCAM4YV,1,2.5,2/26/2024,0
GCAM42E,1.5,2,2/25/2024,0
GCAM3WB,3,3,2/25/2024,0
GCAM27Z,1.5,2,2/24/2024,1
GCAM24A,1,1,2/24/2024,0
GCAM23X,1,1,2/24/2024,0
GCAF9EH,2,2.5,2/24/2024,0
GCAM0MG,1.5,1.5,2/23/2024,0
GCAM0ME,1.5,1.5,2/23/2024,0
GCAM0MC,1.5,1.5,2/23/2024,0
GCAM0MA,1.5,1.5,2/23/2024,0
GCAM0KF,1,1.5,2/23/2024,0
GCAKZCB,1,1,2/22/2024,0
GCAKXV2,2,2,2/21/2024,0
GCAKWXR,1.5,2.5,2/20/2024,0
GCAKWW7,2,1,2/20/2024,0
GCAKWHG,2,2,2/20/2024,2
GCAKVG5,1.5,1.5,2/19/2024,0
GCAKVFJ,1.5,1.5,2/19/2024,2
GCAKVFF,1.5,1.5,2/19/2024,7
GCAJB9P,1,1,2/18/2024,0
GCAKY17,1.5,4.5,2/18/2024,1
GCAKT94,2,1,2/18/2024,0
GCAKT4V,3.5,1.5,2/18/2024,0
GCAM4G6,1,1.5,2/17/2024,0
GCAKQNN,1,1.5,2/17/2024,0
GCAKQMM,1.5,1.5,2/17/2024,1
GCAKQF5,2,1.5,2/17/2024,8
GCAKWZW,2,1.5,2/16/2024,1
GCAKN8M,2.5,1.5,2/15/2024,4
GCAKMCG,1.5,1.5,2/14/2024,0
GCAKM56,1.5,1.5,2/14/2024,1
GCAKM4Z,1.5,1.5,2/14/2024,0
GCAKM4W,1.5,1.5,2/14/2024,0
GCAKM4R,1.5,1.5,2/14/2024,0
GCAKM3B,1.5,1.5,2/14/2024,0
GCAKK6T,2.5,2.5,2/14/2024,0
GCAKNCB,3,2,2/13/2024,0
GCAKK6M,1.5,1.5,2/13/2024,6
GCAKK40,1.5,2,2/13/2024,1
GCAKK3B,2.5,1.5,2/13/2024,4
GCAK4PZ,2,1.5,2/13/2024,6
GCAKJ2V,2,1.5,2/12/2024,0
GCAKP1D,2,1,2/10/2024,0
GCAKF88,3.5,2.5,2/10/2024,4
GCAKDTZ,1.5,1.5,2/9/2024,0
GCAKDH8,1.5,1,2/9/2024,0
GCAKDFN,1.5,1,2/7/2024,1
GCAK8G1,3.5,3.5,2/4/2024,0
GCAK75H,4.5,2,2/3/2024,1
GCAK752,1.5,2,2/3/2024,1
GCAK74Z,1,2,2/3/2024,0
GCAK739,1.5,1.5,2/3/2024,1
GCAK70M,3,2,2/3/2024,0
GCAK6ZR,1.5,1.5,2/3/2024,0
GCAK6YG,2.5,3.5,2/3/2024,0
GCAK6KV,1,1.5,2/3/2024,0
GCAKEH1,4,1.5,2/2/2024,0
GCAK5PC,2,1.5,2/2/2024,0
GCAK5B0,1.5,4,2/2/2024,0
GCAK5AX,1.5,1.5,2/2/2024,3
GCAK4R3,3.5,1.5,2/1/2024,7
GCAK4MA,1.5,1.5,2/1/2024,4
GCAJXBW,2,1.5,2/1/2024,8
GCAGC58,4,1.5,2/1/2024,2
GCAJZQB,1.5,2,1/30/2024,6
GCAK1A6,1.5,1.5,1/29/2024,0
GCAK1A4,1.5,1.5,1/29/2024,0
GCAK17J,2.5,2,1/29/2024,3
GCAK173,2,1.5,1/29/2024,0
GCAK15D,2.5,3,1/29/2024,0
GCAJZR6,3,1.5,1/28/2024,6
GCAJZQJ,2,1.5,1/28/2024,8
GCAJZMP,2,2,1/28/2024,1
GCAK1RC,1.5,1,1/27/2024,0
GCAJWWF,4,1.5,1/26/2024,8
GCAJWVQ,2.5,3,1/26/2024,0
GCAJWQF,2,2.5,1/26/2024,3
GCAJTKA,2,1.5,1/24/2024,12
GCAJT8W,1.5,1.5,1/23/2024,1
GCAJQP4,1.5,1.5,1/23/2024,8
GCAJRJV,1,1.5,1/22/2024,0
GCAJRGB,2,1.5,1/22/2024,3
GCAJQND,1,1,1/21/2024,0
GCAJQ4A,2,1.5,1/21/2024,1
GCAJ877,5,1.5,1/21/2024,3
GCAJPDP,1.5,1.5,1/20/2024,3
GCAJPDJ,1.5,1.5,1/20/2024,0
GCAJPDG,1.5,1.5,1/20/2024,0
GCAJPDD,1.5,1.5,1/20/2024,0
GCAJPDB,1.5,1.5,1/20/2024,0
GCAJPD7,1.5,1.5,1/20/2024,0
GCAJPD6,1.5,1.5,1/20/2024,0
GCAJPD4,1.5,1.5,1/20/2024,0
GCAJPD1,1.5,1.5,1/20/2024,0
GCAJPCY,2.5,1.5,1/20/2024,0
GCAJPCP,1.5,1.5,1/20/2024,0
GCAJPCN,1.5,1.5,1/20/2024,1
GCAJPCK,1.5,1.5,1/20/2024,4
GCAJNHF,2,4,1/19/2024,0
GCAJNFW,2,3.5,1/19/2024,0
GCAJNBX,1.5,2,1/19/2024,1
GCAD3QY,1.5,1.5,1/19/2024,1
GCAJMT9,1.5,2,1/18/2024,0
GCAJMQ5,4,1,1/18/2024,6
GCAJMPR,1.5,1.5,1/18/2024,1
GCAJKYC,2,2,1/17/2024,0
GCAJFQV,1,1,1/17/2024,3
GCAJEQH,1.5,2,1/16/2024,7
GCAJCBB,1.5,1.5,1/14/2024,2
GCAJBTN,1,2.5,1/14/2024,0
GCAJBF0,1.5,2.5,1/13/2024,5
GCAJBET,2,1.5,1/13/2024,2
GCAJA6X,2,2,1/12/2024,1
GCAJA98,2,2,1/11/2024,0
GCAJ9DW,2,2,1/10/2024,0
GCAJ8DY,3.5,1.5,1/10/2024,8
GCAJ8DG,2.5,2.5,1/10/2024,0
GCAJ780,2,1,1/9/2024,0
GCAJ7NR,1.5,1,1/8/2024,2
GCAJ616,1.5,1,1/7/2024,0
GCAJ615,1.5,1,1/7/2024,1
GCAJ614,1.5,1,1/7/2024,0
GCAJ60R,1.5,1,1/7/2024,0
GCAJ60Q,1.5,1,1/7/2024,0
GCAJ60P,1.5,1,1/7/2024,0
GCAJ5YF,1.5,1,1/7/2024,0
GCAJ564,1.5,1.5,1/7/2024,0
GCAJ55V,1.5,1.5,1/7/2024,0
GCAJ55P,1.5,1.5,1/7/2024,0
GCAJ55J,1.5,1.5,1/7/2024,0
GCAJ55D,1.5,1.5,1/7/2024,0
GCAJ4JP,1.5,1.5,1/6/2024,0
GCAJ4JJ,1.5,1.5,1/6/2024,0
GCAJ4J7,1.5,1.5,1/6/2024,0
GCAJ4J4,1.5,1.5,1/6/2024,1
GCAJ258,2.5,1.5,1/4/2024,0
GCAJ1KF,3.5,1.5,1/4/2024,1
GCAJ0ZG,2.5,1.5,1/4/2024,25
GCAJ0V6,2,1.5,1/3/2024,1
GCAHZQ8,2.5,1.5,1/2/2024,0
GCAHZN7,1.5,2.5,1/2/2024,0
GCAHZKV,1.5,1.5,1/2/2024,3
GCAHZJW,1,2,1/2/2024,0
GCAHZFJ,1.5,1.5,1/2/2024,1
GCAHYMM,1.5,2.5,1/1/2024,0
GCAHYKF,1.5,1.5,1/1/2024,2
GCAHYJB,2,1,1/1/2024,0
GCAHYGV,2.5,2.5,1/1/2024,1
GCAHYCW,1,2,1/1/2024,1
GCAHY7E,4.5,2.5,1/1/2024,1
GCAHM8D,1,2,1/1/2024,3
GCAHTNG,1.5,1.5,12/31/2023,1
GCAAZ8A,3.5,1.5,12/30/2023,6
GCAJ9DM,2,2,12/29/2023,0
GCAHTN2,1.5,2,12/29/2023,1
GCAHTKZ,1.5,1.5,12/29/2023,11
GCAHTHM,1.5,1.5,12/29/2023,0
GCAHTHA,1.5,1.5,12/29/2023,0
GCAHTGX,2,1.5,12/29/2023,1
GCAHTF5,2.5,1.5,12/29/2023,4
GCAHT2B,1.5,1.5,12/29/2023,1
GCAHREY,2.5,1.5,12/28/2023,7
GCAHREG,2,1.5,12/28/2023,2
GCAHRDP,3,2.5,12/28/2023,1
GCAHR9T,1.5,1.5,12/28/2023,0
GCAHQ9X,2,2.5,12/27/2023,0
GCAHQ3K,2,3,12/27/2023,6
GCAHP9W,2,1.5,12/26/2023,2
GCAHP5F,3.5,1.5,12/26/2023,1
GCAHNVA,1.5,1.5,12/26/2023,4
GCAJEGT,1.5,1.5,12/25/2023,0
GCAHMGJ,1.5,1.5,12/24/2023,1
GCAHKF8,2,1.5,12/23/2023,0
GCAHKBQ,1.5,1.5,12/23/2023,0
